Age,C/N,d13C,d15N,TC,Bsi,MS
"2,108.00",8.28,-21.75,1.26,3.97,29.36,125.42
"2,128.00",7.79,-22.22,1.62,3.7,29.17,118.32
"2,148.00",7.73,-22.28,1.77,3.59,29.08,108.34
"2,168.00",8.22,-21.8,1.63,3.69,29.12,96.96
"2,188.00",8.5,-21.63,1.5,3.82,29.15,85.5
"2,208.00",8.27,-22.24,1.41,4.04,29.19,76.73
"2,228.00",7.96,-22.82,1.33,4.22,29.28,71.23
"2,248.00",7.28,-22.92,1.31,4.09,29.83,68.51
"2,268.00",7.18,-23.37,1.26,4.28,30.47,68.53
"2,288.00",7.54,-23.15,1.29,4.28,31.11,70.25
"2,308.00",7.69,-22.66,1.39,4.11,31.76,73.05
"2,328.00",7.34,-22.93,1.41,4.13,32.4,77.46
"2,348.00",7.72,-22.57,1.41,4.26,31.33,85.23
"2,368.00",7.55,-22.16,1.57,4.36,28.04,98.33
"2,388.00",8.03,-22.13,1.43,4.36,24.74,116.6
"2,408.00",8,-22.86,1.77,4.1,21.45,142.12
"2,428.00",7.56,-23.53,1.63,2.9,18.15,175.79
"2,448.00",6.86,-22.91,1.6,2.44,15.83,220.21
"2,467.00",6.9,-22.6,1.63,2.75,17.2,270.91
"2,487.00",7.91,-22.87,1.6,3.13,18.92,321.69
"2,507.00",8.07,-21.34,1.16,3.14,20.64,348.63
"2,527.00",8.06,-22.97,1.02,1.89,22.36,328.14
"2,547.00",8,-25.52,1.11,0.73,23.99,273.99
"2,567.00",7.95,-23.95,1.2,2.35,25.34,208.45
"2,587.00",7.86,-22.24,1.25,4.03,26.66,156.52
"2,607.00",7.5,-22.05,1.1,4.34,27.99,121.12
"2,627.00",7.16,-22.62,1.25,3.8,29.3,98.7
"2,647.00",7.36,-22.52,1.31,3.82,29.93,85.4
"2,667.00",7.69,-22.14,1.3,4.08,30.2,77.13
"2,687.00",7.54,-22.02,1.2,4.04,30.47,72.5
"2,707.00",7.61,-22,1.19,3.81,30.73,71
"2,727.00",8.4,-22.51,1.21,3.98,31,72.14
"2,747.00",10.38,-23.99,1.15,5.1,31.27,75.49
"2,767.00",9.63,-23.75,1.18,4.65,31.5,79.53
"2,787.00",7.82,-22.65,1.62,3.83,30.15,81.9
"2,807.00",7.62,-22.66,1.83,3.4,27.92,82.87
"2,827.00",8.02,-22.95,1.47,3.51,25.69,82.86
"2,847.00",7.54,-23.35,1.59,3.09,23.46,77.84
"2,867.00",7.55,-23.16,1.72,3.04,22.04,73.51
"2,887.00",7.97,-22.71,1.8,3.36,22.57,75.85
"2,907.00",8.09,-22.57,1.76,3.13,23.19,92.7
"2,927.00",8.14,-22.49,1.7,3.31,21.65,139.75
"2,947.00",8,-22.41,1.79,3.02,17,234.26
"2,967.00",7.99,-22.24,1.79,2.94,15.52,194.81
"2,987.00",8.2,-22.14,1.63,2.24,17.68,130.65
"3,007.00",8.6,-22.24,1.34,2.83,17.03,119.29
"3,027.00",8.97,-22.64,1.39,2.67,15.57,120.73
"3,047.00",9.24,-23.13,1.56,2.16,14.1,131.97
"3,067.00",9.24,-23.43,1.57,1.55,13.04,127.2
