Age,C/N,d13C,d15N,TC,Bsi,MS
"2,088.00",10.58,-24.96,1.9,2.12,71.73,86.94
"2,108.00",10.48,-25,1.84,2.05,73.44,92.49
"2,128.00",10.24,-25.1,1.79,2.16,75.16,94.92
"2,148.00",10.01,-25.21,1.73,2.28,76.87,96.59
"2,168.00",9.87,-25.33,1.69,2.46,78.58,93.51
"2,188.00",9.75,-25.47,1.65,2.66,80.3,89.43
"2,208.00",9.85,-25.69,1.54,2.85,82.96,83.45
"2,228.00",10.11,-25.98,1.4,3.04,86.29,76.1
"2,248.00",10.4,-26.19,1.3,3.23,89.62,71.16
"2,268.00",10.72,-26.27,1.33,3.43,92.95,71.43
"2,288.00",11.02,-26.37,1.36,3.67,96.28,72.26
"2,308.00",11.13,-26.66,1.38,4.16,99.61,75.54
"2,328.00",11.2,-27,1.4,4.72,102.88,79.01
"2,348.00",11.16,-27.37,1.31,6.16,103.7,73.15
"2,368.00",11.06,-27.77,1.17,8.05,103.26,62.46
"2,388.00",10.98,-27.93,1.17,8.53,102.83,50.31
"2,408.00",10.93,-27.72,1.41,6.81,102.39,35.88
"2,428.00",10.8,-27.53,1.58,5.36,101.95,23.91
"2,448.00",10.41,-27.43,1.49,4.98,101.51,21.22
"2,467.00",10,-27.33,1.39,4.72,101.07,19.45
"2,487.00",9.8,-27.21,1.43,4.75,100.51,18.14
"2,507.00",9.66,-27.08,1.51,4.86,99.92,16.99
"2,527.00",9.64,-26.94,1.55,4.91,99.33,17.71
"2,547.00",9.71,-26.81,1.55,4.91,98.74,19.85
"2,567.00",9.88,-26.79,1.54,4.99,98.14,22.75
"2,587.00",10.25,-26.97,1.5,5.22,97.55,27.13
"2,607.00",10.55,-27.15,1.45,5.4,97.01,31.42
"2,627.00",10.59,-27.25,1.44,5.29,96.68,35.1
"2,647.00",10.57,-27.34,1.43,5.15,96.38,38.63
"2,667.00",10.34,-27.27,1.46,5.02,96.08,41.15
"2,687.00",10.05,-27.14,1.52,4.89,95.78,43.34
"2,707.00",10.07,-27.04,1.53,4.95,95.48,45.14
"2,727.00",10.29,-26.97,1.53,5.13,95.18,46.68
"2,747.00",10.26,-26.89,1.52,5.1,95.32,47.5
"2,767.00",9.88,-26.83,1.51,4.75,96.07,47.3
"2,787.00",9.55,-26.77,1.52,4.46,96.82,47.2
"2,807.00",9.42,-26.74,1.55,4.31,97.58,47.42
"2,827.00",9.26,-26.71,1.59,4.2,98.34,47.81
"2,847.00",8.93,-26.65,1.59,4.23,99.1,49.1
"2,867.00",8.6,-26.59,1.6,4.29,99.92,50.53
"2,887.00",8.65,-26.5,1.69,4.16,101.86,51.89
"2,907.00",8.83,-26.39,1.82,3.97,104.16,53.22
"2,927.00",9.07,-26.53,1.77,3.84,106.47,53.29
"2,947.00",9.35,-26.84,1.6,3.75,108.77,52.52
"2,967.00",9.35,-27,1.52,3.75,111.08,54.26
"2,987.00",9.01,-26.98,1.53,3.88,113.38,59.06
"3,007.00",8.78,-26.9,1.57,3.98,114.71,62.24
"3,027.00",8.75,-26.72,1.65,4.06,113.99,62.01
"3,047.00",8.75,-26.59,1.71,4.11,113.22,60.5
"3,067.00",8.82,-26.69,1.7,4.07,112.45,54.92
"3,087.00",8.86,-26.79,1.68,4.04,111.67,49.36
"3,107.00",8.73,-26.86,1.63,4.06,110.9,46.06
"3,127.00",8.6,-26.91,1.59,4.09,110.08,43.28
"3,147.00",8.83,-26.87,1.64,4.1,108.67,41.99
"3,167.00",9.14,-26.81,1.71,4.11,107.08,41.15
"3,187.00",9.19,-26.81,1.67,4.1,105.49,40.59
"3,207.00",9.13,-26.83,1.57,4.08,103.91,40.16
"3,227.00",9.12,-26.86,1.53,4.08,102.32,40.88
"3,247.00",9.15,-26.9,1.52,4.09,100.74,42.29
"3,267.00",9.3,-26.97,1.48,4.24,100.09,44.04
"3,287.00",9.54,-27.07,1.41,4.5,100.25,46.08
"3,307.00",9.65,-27.1,1.42,4.63,100.41,46.63
"3,327.00",9.62,-27.06,1.52,4.6,100.57,45.24
"3,347.00",9.59,-27.01,1.55,4.6,100.72,44.07
"3,367.00",9.56,-26.95,1.45,4.65,100.88,43.25
"3,387.00",9.54,-26.93,1.42,4.63,101.29,42.59
"3,407.00",9.53,-26.99,1.53,4.45,102.25,42.28
"3,427.00",9.5,-27.02,1.62,4.31,103.22,42.21
"3,447.00",9.38,-26.96,1.66,4.3,104.2,42.73
"3,467.00",9.26,-26.9,1.68,4.28,105.17,43.25
"3,486.00",9.17,-26.89,1.66,4.23,106.15,43.66
"3,506.00",9.07,-26.88,1.65,4.17,106.99,44.09
"3,526.00",9,-26.83,1.75,4.12,107.37,44.62
"3,546.00",8.99,-26.8,1.8,4.08,107.7,45.17
"3,566.00",9.21,-26.87,1.66,4.09,108.03,45.79
"3,586.00",9.39,-26.94,1.51,4.11,108.36,46.21
"3,606.00",9.26,-26.93,1.44,4.15,108.69,45.65
"3,626.00",9.15,-26.93,1.36,4.2,108.62,45
"3,646.00",9.28,-26.96,1.23,4.3,106.67,44.45
"3,666.00",9.42,-26.98,1.13,4.37,104.49,44.19
"3,686.00",9.47,-26.9,1.29,4.27,102.31,45.19
"3,706.00",9.52,-26.83,1.43,4.18,100.12,46.46
"3,726.00",9.62,-26.87,1.37,4.24,97.94,48.08
"3,746.00",9.68,-26.89,1.3,4.29,95.85,50.21
"3,766.00",9.54,-26.84,1.28,4.24,94.1,54.15
"3,786.00",9.46,-26.69,1.25,4.11,92.39,57.99
