Source,Meand13C,SDd13C,Meand15N,SDd15N,MeanCN,SDCN,n
Soil,-25.5,0.8,1.67,2.48,26.7,12.4,3
Terrestrial,-26.9,1.21,-1.6,3.6,48,29,8
Mosses,-21.83,1.55,0.77,0.47,31,4.6,3
Plankton,-30.7,0.28,6.5,0.42,8.8,0.4,2
