Age,C/N,d13C,d15N,TC,Bsi,MS
"2,228.00",6.86,-25.95,1.82,0.27,7.82,337
"2,248.00",7.36,-25.84,2.33,0.25,8.12,338
"2,268.00",4.98,-26.11,2.27,0.2,7.55,334
"2,288.00",4.63,-26.09,1.91,0.18,6.75,329
"2,308.00",4.75,-26.02,1.98,0.19,7.23,316
"2,328.00",5.49,-25.86,1.82,0.28,7.55,304
"2,348.00",6.42,-25.37,1.49,0.38,7.67,292
"2,368.00",5.06,-25.87,1.65,0.18,7.05,292
"2,388.00",6.54,-25.78,1.61,0.37,6.31,300
"2,408.00",5.91,-25.63,1.67,0.26,6.39,307
"2,428.00",5.37,-25.98,1.45,0.26,6.59,320
"2,448.00",5.23,-25.5,1.54,0.23,6.75,329
"2,467.00",5.7,-25.56,1.33,0.28,7.2,338
"2,487.00",5.87,-25.52,1.5,0.33,7.24,355
"2,507.00",5.24,-25.52,1.77,0.17,6.77,360
"2,527.00",5.26,-25.48,1.73,0.22,6.91,364
"2,547.00",5.55,-25.46,2.01,0.22,7.12,357
"2,567.00",5.06,-25.61,1.66,0.2,6.23,346
"2,587.00",5.57,-25.73,1.63,0.25,5.63,333
"2,607.00",5.62,-26.2,1.34,0.3,6.38,328
"2,627.00",5.69,-26.2,1.53,0.29,7.08,330
"2,647.00",5.84,-25.78,1.43,0.29,7.56,328
"2,667.00",5.88,-25.73,1.53,0.22,6.3,323
"2,687.00",6.21,-26.08,1.41,0.26,6.28,324
"2,707.00",6.83,-25.84,1.21,0.36,6.31,324
"2,727.00",7.29,-25.76,1.46,0.37,5.71,324
"2,747.00",7.84,-25.9,0.96,0.48,5.04,326
"2,767.00",7.58,-26.05,1.48,0.47,4.63,328
"2,787.00",7.5,-25.92,1.37,0.41,5.75,331
"2,807.00",8.03,-25.81,1.03,0.49,5.86,328
"2,827.00",7.48,-26.54,1.21,0.33,5.8,321
"2,847.00",8.15,-26.41,0.98,0.47,5.85,313
"2,867.00",8.76,-26.75,0.88,0.88,7.49,301
"2,887.00",9.68,-25.84,0.85,1.32,7.44,291
"2,907.00",10.59,-25.44,0.54,1.72,6.52,272
"2,927.00",9.52,-25.67,0.4,1,5.45,250
"2,947.00",5.88,-25.83,0.25,0.2,5.04,222
"2,967.00",6.23,-26.07,0.78,0.32,6.56,231
"2,987.00",6.24,-25.88,0.78,0.4,7.15,250
"3,007.00",5.71,-24.74,1.05,0.27,6.04,271
"3,027.00",6.26,-24.89,1.14,0.31,6.34,292
"3,047.00",6.09,-25.21,0.49,0.39,8.35,295
"3,067.00",5.81,-25.99,1.53,0.28,7.09,295
"3,087.00",5.95,-26.24,1.91,0.31,5.84,289
"3,107.00",6.07,-25.82,1.65,0.31,6.29,280
"3,127.00",5.82,-25.45,0.97,0.25,7.93,273
"3,147.00",5.84,-25.72,0.77,0.26,7.52,280
"3,167.00",6.25,-24.86,0.57,0.29,7.03,287
"3,187.00",5.94,-25.14,0.73,0.29,8.59,292
"3,207.00",6.05,-24.71,0.43,0.28,7.67,293
"3,227.00",5.23,-25.69,0.8,0.2,6.82,290
"3,247.00",5.54,-25.68,0.95,0.23,7.88,283
"3,267.00",5.48,-25.75,0.43,0.23,7.03,273
"3,287.00",5.93,-25.57,0.74,0.23,6.78,257
"3,307.00",5.89,-25.16,0.32,0.23,6.08,226
"3,327.00",6.25,-25.54,0.56,0.27,6.68,231
"3,347.00",6.44,-24.92,0.44,0.26,7.59,267
"3,367.00",6.64,-25.28,1.03,0.32,6.78,300
"3,387.00",6.38,-25.36,0.79,0.31,7.16,311
"3,407.00",6.73,-25.57,0.6,0.34,8.41,315
"3,427.00",6.81,-25.72,1.37,0.28,6.22,319
"3,447.00",6.66,-26.05,1.36,0.2,6.01,323
"3,467.00",6.99,-26.58,3.03,0.14,6.51,327
"3,486.00",6.9,-26.28,3.18,0.21,6.61,332
"3,506.00",6.56,-25.85,2.23,0.27,6.71,338
"3,526.00",6.45,-25.37,0.28,0.3,6.63,345
"3,546.00",7.39,-25.21,0.65,0.41,6.41,351
"3,566.00",7.61,-25.17,0.39,0.47,7.71,355
"3,586.00",6.73,-24.58,0.97,0.4,7.11,354
"3,606.00",6.39,-24.72,1.79,0.34,10.01,352
"3,626.00",6.24,-25.14,1.14,0.31,8.6,352
"3,646.00",6.47,-25.58,0.7,0.32,5.75,356
"3,666.00",6.08,-25.96,0.9,0.26,6.34,363
"3,686.00",5.95,-25.84,1.3,0.28,6.42,370
"3,706.00",6.25,-25.12,1.15,0.36,7.26,373
"3,726.00",6.34,-24.92,1.2,0.34,7.25,375
"3,746.00",6.63,-25.16,1.09,0.35,6.49,372
"3,766.00",6.23,-25.81,1.26,0.28,6.75,367
"3,786.00",6.3,-25.7,1.04,0.3,7.34,358
"3,806.00",6.37,-25.7,1.22,0.37,7.46,345
"3,826.00",6.67,-25.55,0.67,0.46,6.92,332
"3,846.00",6.7,-25.16,0.86,0.38,7.23,327
"3,866.00",6.35,-25.28,0.89,0.33,7.38,329
"3,886.00",6.59,-25.83,0.86,0.3,6.75,337
"3,906.00",6.56,-25.76,0.64,0.39,6,347
"3,926.00",6.26,-25.62,0.8,0.32,6.37,357
"3,946.00",6.32,-26.11,0.88,0.33,6.23,365
"3,966.00",6.63,-26.01,0.57,0.44,7.3,372
"3,986.00",6.77,-25.85,0.69,0.53,7.94,378
"4,006.00",6.52,-25.74,0.95,0.5,8.87,383
"4,026.00",7.04,-25.59,0.77,0.43,7.92,390
"4,046.00",7.08,-25.62,0.8,0.57,9.51,396
"4,066.00",6.87,-25.49,0.95,0.43,8.96,397
"4,086.00",7.17,-25.52,0.8,0.52,7.97,394
"4,106.00",7.31,-25.77,0.81,0.54,9.17,392
"4,126.00",7.46,-25.73,1.14,0.49,8.97,393
"4,146.00",8.02,-25.56,0.69,0.5,7.43,397
"4,166.00",8.23,-25.98,0.77,0.56,7.5,402
"4,186.00",6.94,-25.48,1,0.37,6.25,401
"4,206.00",6.46,-24.06,1.51,0.32,7.58,393
"4,226.00",6.3,-24.04,1.43,0.29,7.95,380
"4,246.00",5.94,-24.34,0.67,0.27,6.8,370
"4,266.00",5.93,-24.57,0.86,0.28,6.88,361
"4,286.00",6.15,-24.84,0.82,0.3,7.17,349
"4,306.00",5.91,-24.23,0.46,0.34,6.58,335
"4,326.00",5.94,-24.53,0.42,0.32,7.38,326
"4,346.00",5.83,-24.02,0.69,0.34,7.66,321
"4,366.00",5.77,-23.88,0.38,0.33,7.56,316
"4,386.00",5.74,-24.26,0.73,0.31,8.26,311
"4,406.00",5.72,-24.07,0.77,0.31,7.7,312
"4,426.00",5.32,-25.45,-0.06,0.25,7.86,325
"4,446.00",5.7,-24.49,0.44,0.29,7.78,350
"4,466.00",5.53,-24.87,0.53,0.25,7.91,379
"4,485.00",5.84,-24.62,0.19,0.38,10.29,403
"4,505.00",5.69,-24.12,0.29,0.39,9.33,419
"4,525.00",5.63,-24.53,-0.17,0.31,9.6,429
"4,545.00",5.53,-23.81,0,0.33,9.24,438
"4,565.00",5.85,-24.06,0.21,0.38,9.09,446
"4,585.00",5.94,-23.78,0.23,0.45,9.51,450
"4,605.00",5.82,-23.6,0.19,0.48,10.78,452
"4,625.00",5.75,-23.54,0.09,0.43,13.6,456
"4,645.00",5.98,-24.05,0.07,0.44,11.73,464
"4,665.00",5.9,-23.91,0.24,0.41,10.9,472
"4,685.00",5.98,-24.29,0.12,0.39,10.76,477
"4,705.00",5.83,-24.01,0.1,0.4,10.23,477
"4,725.00",6.07,-23.41,0.06,0.43,10.15,472
"4,745.00",5.92,-22.99,-0.33,0.42,10.98,463
"4,765.00",5.9,-23.52,-0.13,0.4,11.08,449
"4,785.00",6.05,-23.8,0.17,0.47,10.99,433
"4,805.00",6.54,-23.54,0.15,0.56,10.63,417
"4,825.00",6.47,-23.69,0.46,0.46,9.11,403
"4,845.00",6.24,-24.1,0.25,0.37,8.63,392
"4,865.00",6.06,-23.96,0.48,0.35,9.21,382
"4,885.00",6.27,-23.84,0.53,0.4,9.32,371
"4,905.00",6.39,-24.34,0.18,0.4,9.13,356
"4,925.00",5.95,-24.4,0.16,0.36,8.92,339
"4,945.00",5.85,-24.47,0.3,0.31,8.91,322
"4,965.00",5.99,-24.49,0.03,0.32,9.53,309
"4,985.00",5.91,-24.83,0.2,0.37,9.75,303
"5,005.00",5.88,-24.75,0.31,0.36,8.64,303
"5,025.00",5.61,-24.75,0.19,0.25,7.99,305
"5,045.00",5.76,-24.81,0.46,0.32,8.68,304
"5,065.00",5.46,-24.75,0.41,0.29,9.38,300
"5,085.00",5.55,-24.48,0.27,0.32,9.6,299
"5,105.00",5.93,-24.12,0.18,0.38,10.35,300
"5,125.00",5.81,-24.35,0.13,0.4,10.46,305
"5,145.00",5.47,-24.7,0.59,0.35,9.6,312
"5,165.00",5.69,-24.61,0.48,0.35,9.47,320
"5,185.00",5.94,-24.98,0.44,0.35,9.26,323
"5,205.00",5.75,-25.06,0.65,0.35,9.28,322
"5,225.00",5.7,-24.78,0.63,0.36,10.28,320
"5,245.00",5.82,-24.78,0.44,0.35,10.13,322
"5,265.00",5.8,-24.65,0.55,0.34,9.13,332
"5,285.00",5.61,-24.77,0.92,0.38,8.5,347
"5,305.00",5.59,-24.79,0.97,0.37,9.93,363
"5,325.00",5.79,-24.95,0.81,0.3,9.96,373
"5,345.00",6.2,-25.11,0.93,0.35,7.83,379
"5,365.00",6.28,-24.55,0.95,0.41,7.98,383
"5,385.00",5.85,-24.52,0.86,0.33,9.26,387
"5,405.00",5.78,-24.31,1.51,0.38,12.27,388
"5,425.00",5.67,-24.33,1.5,0.41,13.66,385
"5,445.00",5.67,-24.27,1.57,0.39,11.45,381
"5,465.00",7.23,-25.27,1.59,0.51,11.04,378
"5,484.00",6.73,-25.36,1.49,0.49,11.33,377
"5,504.00",5.88,-25.09,1.51,0.47,15.2,379
"5,524.00",5.55,-24.81,1.48,0.43,14.82,383
"5,544.00",5.04,-23.92,1.63,0.33,14.36,388
"5,564.00",4.99,-23.72,1.86,0.33,12.62,394
"5,584.00",4.8,-23.82,1.84,0.35,11.06,405
"5,604.00",4.86,-23.78,1.7,0.38,13.23,419
"5,624.00",5.07,-24.21,1.89,0.35,14.42,435
"5,644.00",5.28,-24.71,2.04,0.33,13.36,447
"5,664.00",5.66,-24.43,1.64,0.44,15.78,451
"5,684.00",5.78,-23.7,1.69,0.49,16.79,450
"5,704.00",5.66,-24.19,1.74,0.41,13.71,447
"5,724.00",5.56,-24.58,1.95,0.4,13.04,442
"5,744.00",5.38,-24.13,2.39,0.39,15.58,436
