Age,C/N,d13C,d15N,TC,Bsi,MS
"2,088.00",10.14,-20.79,0.01,5.3,92.07,74.72
"2,108.00",9.78,-20,0.05,4.53,91.23,77.11
"2,128.00",9.52,-20.37,-0.16,4.85,89.89,74.04
"2,148.00",9.9,-20.89,-0.3,5.21,88.57,68.75
"2,168.00",10.18,-20.89,-0.17,4.92,88.18,72.4
"2,188.00",9.95,-20.78,-0.04,4.36,88.5,83.68
"2,208.00",9.64,-20.73,0.08,3.87,88.82,95.98
"2,228.00",9.76,-20.8,0.14,3.81,88.35,99.17
"2,248.00",9.96,-21.04,-0.01,4.17,86.84,86.94
"2,268.00",10.28,-21.57,-0.17,4.54,85.33,72.82
"2,288.00",10.38,-21.47,-0.04,4.77,84.03,68.31
"2,308.00",10.16,-21.07,-0.03,4.47,83.57,74.15
"2,328.00",10.77,-21.27,0.03,4.65,83.19,76.52
"2,348.00",9.89,-21.2,0.02,4.15,82.8,75.9
"2,368.00",9.68,-21.32,0.01,4.23,82.42,75.13
"2,388.00",9.32,-21.06,0.03,3.93,82.03,79.33
"2,408.00",9.43,-20.96,0,3.7,81.65,84.93
"2,428.00",10.14,-21.42,-0.08,3.91,81.26,85.58
"2,448.00",10.08,-21.74,-0.08,3.73,80.88,83.59
"2,467.00",9.75,-21.64,-0.02,3.13,80.5,94.24
"2,487.00",9.42,-21.43,-0.05,2.56,80.18,107.63
"2,507.00",9.79,-21.28,-0.06,2.7,81.94,116.92
"2,527.00",10.04,-21.1,0.07,3.43,84.68,111.82
"2,547.00",10.23,-21.01,0.23,4.3,87.42,100.33
"2,567.00",10.94,-21.3,0.2,4.84,89.66,98.41
"2,587.00",10.64,-21.84,0.19,4.66,89.54,90.56
"2,607.00",9.92,-21.68,0.35,4.32,89.1,94.45
"2,627.00",9.94,-21.38,0.33,4.5,88.66,91.74
"2,647.00",10.27,-21.3,0.26,4.78,88.22,83.65
"2,667.00",10.27,-21.46,0.33,4.67,87.78,79.49
"2,687.00",10.64,-21.46,0.31,4.77,87.34,79.82
"2,707.00",10.28,-21.06,0.26,4.81,86.9,78
"2,727.00",10.13,-20.69,0.24,4.76,86.46,78.75
"2,747.00",10.07,-20.56,0.26,4.63,86.02,80.91
"2,767.00",9.52,-20.69,0.29,4.45,85.58,80.53
"2,787.00",9.35,-21.03,0.31,4.18,85.16,82.13
"2,807.00",9.63,-21.4,0.3,4.21,85.53,81.18
"2,827.00",9.75,-21.25,0.25,4.27,86.3,78.38
"2,847.00",9.41,-20.58,0.22,4.16,87.07,76
"2,867.00",9.51,-20.88,0.39,4.19,87.87,78.07
"2,887.00",10.98,-21.47,0.32,5.04,89.18,80.03
"2,907.00",11.66,-21.71,0.25,5.42,90.68,81.27
"2,927.00",10.67,-21.38,0.29,4.86,92.18,82.33
"2,947.00",9.52,-20.91,0.24,4.34,93.53,84.85
"2,967.00",9.45,-21.04,0.09,4.38,92.24,84.5
"2,987.00",9.53,-21.01,0.09,4.3,89.99,87.65
"3,007.00",9.44,-20.75,0.25,3.94,87.74,96.39
"3,027.00",9.73,-21.09,0.38,3.82,85.75,106.66
"3,047.00",9.55,-20.68,0.37,4.03,88.31,101.48
"3,067.00",9.79,-20.46,0.28,4.47,92.56,89.12
"3,087.00",10.45,-20.7,0.17,4.85,96.8,77.33
"3,107.00",9.88,-20.38,0.19,4.52,100.86,74.53
"3,127.00",11.51,-20.8,0.23,5.41,101.43,73.72
"3,147.00",14.03,-21.65,-0.06,6.63,100.7,75.74
"3,167.00",16.97,-22.77,-1.06,8.06,99.97,78.41
"3,187.00",21.75,-24.14,-2.9,11.74,99.24,64.07
"3,207.00",18.43,-23.49,-1.62,9.79,98.51,71
"3,227.00",13.21,-22.31,0.39,6,97.78,86.53
"3,247.00",12.89,-22.22,0.44,4.98,97.05,93.53
"3,267.00",12.16,-22.08,0.45,4.78,96.32,97.75
"3,287.00",11.51,-21.86,0.33,4.66,95.59,98.61
"3,307.00",10.96,-21.55,0.23,4.45,94.86,90.86
"3,327.00",10.29,-21.19,0.4,4.12,94.12,67.55
"3,347.00",10.22,-21.18,0.48,4.06,93.39,64.87
"3,367.00",10.24,-21.18,0.46,4.19,92.44,74.3
"3,387.00",10.22,-21.13,0.38,4.38,91.22,88.59
"3,407.00",10.34,-21.28,0.36,4.43,90,93.65
"3,427.00",10.09,-21.34,0.4,4.31,88.78,86.49
"3,447.00",10.03,-21.42,0.42,4.3,87.12,73.19
"3,467.00",10.61,-21.6,0.36,4.58,84.69,61.58
"3,486.00",11.18,-21.5,0.23,4.84,82.26,67.83
"3,506.00",11.54,-21.28,0.13,5.05,79.82,74.45
"3,526.00",11.48,-21.1,0.13,5.06,78.87,79.57
"3,546.00",10.77,-21.11,0.23,4.68,81.54,84.97
"3,566.00",10.83,-21.1,0.22,4.76,84.36,86.86
"3,586.00",10.58,-21.01,0.18,4.71,87.19,88.71
"3,606.00",9.83,-20.78,0.2,4.41,90.01,90.08
"3,626.00",9.3,-20.43,0.31,4.19,92.83,86.37
"3,646.00",9.22,-20.47,0.37,4.02,95.66,81.4
"3,666.00",9.35,-20.72,0.37,3.98,98.48,80.91
"3,686.00",9.48,-20.9,0.35,4.08,101.31,86.44
"3,706.00",9.36,-20.45,0.37,4.01,104.09,86.57
"3,726.00",9.57,-20.33,0.38,4.08,105.41,85.1
"3,746.00",9.66,-20.34,0.36,4.13,106,83.51
"3,766.00",9.26,-20.22,0.26,4.03,106.59,80.49
"3,786.00",9.15,-19.94,0.19,4.09,107.19,65.37
"3,806.00",9.74,-20.1,0.18,4.51,107.78,57.82
"3,826.00",10.25,-20.35,0.22,4.82,108.37,61.44
"3,846.00",9.78,-20.16,0.29,4.47,108.79,74.97
"3,866.00",9.59,-20.24,0.34,4.38,107.9,75.89
"3,886.00",9.66,-20.36,0.46,4.31,106.73,75.49
"3,906.00",9.94,-20.42,0.61,4.29,105.55,74.83
"3,926.00",10.34,-20.4,0.68,4.42,104.38,71.29
"3,946.00",10.33,-20.24,0.58,4.45,103.2,72.24
"3,966.00",10.21,-20.25,0.46,4.31,102.03,71.95
"3,986.00",14.34,-20.63,0.25,6.52,100.85,67.08
"4,006.00",25.31,-21.37,-0.14,12.75,99.68,57.41
"4,026.00",19.31,-21.49,-0.01,9.5,98.5,58.82
"4,046.00",12.8,-20.81,0.09,5.94,97.33,56.37
"4,066.00",10.08,-20.25,0.27,4.61,96.15,54
"4,086.00",11.05,-20.6,0.61,5.42,95.03,59.2
"4,106.00",10.24,-20.28,0.26,4.5,94.2,66.2
"4,126.00",10.69,-20.37,0.03,4.4,93.43,74.05
"4,146.00",10.3,-20.39,0.03,4.17,92.65,80.73
"4,166.00",9.01,-20.17,0.19,3.64,92.28,81.48
"4,186.00",10.01,-20.23,0.3,4.28,93.24,69.54
"4,206.00",10.65,-20.29,0.41,4.88,94.29,68.93
"4,226.00",9.98,-19.97,0.46,4.48,95.35,73.51
"4,246.00",10.08,-19.95,0.4,4.65,96.41,73.94
"4,266.00",11.79,-20.6,0.31,5.99,97.47,67.78
"4,286.00",10.07,-20.32,0.51,4.28,98.53,71.9
"4,306.00",10.66,-20.07,0.45,4.41,99.58,69.79
"4,326.00",12.06,-20.33,0.32,5.25,99.84,68.6
"4,346.00",12.38,-20.68,0.32,5.49,99.57,71.17
"4,366.00",10.96,-20.71,0.48,4.64,99.31,76.59
"4,386.00",10.16,-21.09,0.47,4.13,99.03,81.13
"4,406.00",11.61,-21.53,0.47,4.8,98.67,83.14
"4,426.00",11.09,-21.22,0.42,4.36,98.27,91.24
"4,446.00",10.29,-20.82,0.42,3.79,97.88,92.96
"4,466.00",10.8,-20.93,0.51,4.05,97.49,83.61
"4,485.00",10.12,-20.98,0.55,3.93,97.1,84.52
"4,505.00",10.36,-20.43,0.43,3.97,96.71,82.74
"4,525.00",10.48,-20.65,0.38,4.16,96.31,82.46
"4,545.00",9.74,-20.4,0.58,3.84,95.92,84.56
"4,565.00",9.01,-20.23,0.72,3.42,95.53,86.68
"4,585.00",9.19,-20.8,0.61,3.42,95.14,86.12
"4,605.00",9.57,-20.73,0.67,3.47,94.75,82.75
"4,625.00",8.95,-20.05,0.76,3.29,94.36,80.03
"4,645.00",8.69,-20.1,0.67,3.09,93.96,73.6
"4,665.00",9.86,-20.51,0.47,3.82,93.57,60.66
"4,685.00",12,-21.01,0.27,6.21,93.18,55.94
"4,705.00",12.4,-21.43,0.34,7.22,92.79,72.84
"4,725.00",9.1,-21.43,0.76,3.14,92.4,101.55
