Age,C/N,d13C,d15N,TC,Bsi,MS
"2,248.00",10.35,-26.16,2.36,1.1,49.72,925
"2,268.00",10.59,-26.12,2.37,1.03,63.75,750
"2,288.00",11.22,-26.09,2.37,1.12,53.2,614
"2,308.00",10.2,-26.09,2.38,0.84,75.58,761
"2,328.00",10.24,-26.1,2.38,0.76,60.51,885
"2,348.00",10.21,-26.11,2.39,1.09,66.17,851
"2,368.00",9.89,-26.12,2.4,1.04,57.39,849
"2,388.00",9.94,-26.13,2.41,1.02,85.83,783
"2,408.00",9.85,-26.14,2.42,1,62.12,828
"2,428.00",10.24,-26.15,2.42,1.02,57.56,830
"2,448.00",10.24,-26.16,2.43,0.91,59.41,865
"2,467.00",10.22,-26.17,2.44,0.92,50.34,880
"2,487.00",9.71,-26.18,2.44,0.91,59.25,860
"2,507.00",9.8,-26.17,2.42,0.94,55.69,856
"2,527.00",10.21,-26.16,2.39,0.95,70.66,856
"2,547.00",9.55,-26.15,2.36,0.76,57.29,870
"2,567.00",9.57,-26.14,2.33,0.78,56.32,883
"2,587.00",10.11,-26.13,2.3,0.82,55.18,855
"2,607.00",9.42,-26.12,2.27,0.85,58.7,832
"2,627.00",8.89,-26.11,2.24,0.74,60.89,885
"2,647.00",9.85,-26.1,2.21,0.86,63.28,893
"2,667.00",9.11,-26.09,2.19,0.94,62.02,816
"2,687.00",8.8,-26.08,2.16,0.66,50.29,785
"2,707.00",8.77,-26.06,2.13,0.82,49.41,839
"2,727.00",9.21,-26.05,2.1,0.87,60.08,864
"2,747.00",9.58,-26.03,2.07,0.86,58.11,877
"2,767.00",9.83,-26.01,2.04,0.9,53.65,902
"2,787.00",9.51,-26,2.01,0.83,49.46,922
"2,807.00",9.25,-25.98,1.98,0.76,46.45,899
"2,827.00",9.97,-25.97,1.95,1.06,53.14,854
"2,847.00",9.54,-25.95,1.92,0.98,58.85,805
"2,867.00",9.77,-25.93,1.89,0.88,53.89,731
"2,887.00",9.88,-25.92,1.86,1.1,58.48,578
"2,907.00",9.81,-25.9,1.83,1.31,68.04,549
"2,927.00",9.26,-25.88,1.8,1.18,59.47,593
"2,947.00",10,-25.87,1.77,1.11,50.89,699
"2,967.00",9.74,-25.86,1.74,0.99,68.03,685
"2,987.00",9.24,-25.87,1.71,0.91,73.83,726
"3,007.00",9.03,-25.89,1.68,0.84,56.97,796
"3,027.00",9.25,-25.9,1.65,1.03,63.01,823
"3,047.00",9.29,-25.92,1.62,0.85,62.28,829
"3,067.00",9.33,-25.93,1.59,0.83,60.36,827
"3,087.00",9.43,-25.95,1.57,0.84,55.96,807
"3,107.00",9.48,-25.98,1.56,0.83,64.21,812
"3,127.00",9.79,-26.02,1.56,0.73,63.26,828
"3,147.00",9.44,-26.05,1.56,0.84,66.43,817
