Age,C/N,d13C,d15N,TC,Bsi,MS
"2,048.00",8.27,-20.05,-0.69,4.92,127.5,17.71
"2,068.00",8.22,-20.1,-0.6,4.71,126,19.74
"2,088.00",8.15,-20.15,-0.49,4.5,124,18.8
"2,108.00",8.09,-20.2,-0.38,4.3,122,15.3
"2,128.00",8.09,-20.25,-0.37,4.22,120,14.03
"2,148.00",8.16,-20.3,-0.48,4.28,118,14.07
"2,168.00",8.25,-20.35,-0.62,4.38,117.5,18.89
"2,188.00",8.33,-20.45,-0.74,4.49,118,25.09
"2,208.00",8.35,-20.45,-0.76,4.6,118.5,31.34
"2,228.00",8.34,-20.35,-0.72,4.73,118.5,50.87
"2,248.00",8.33,-20.25,-0.67,4.85,116.5,51.38
"2,268.00",8.4,-20.3,-0.63,4.81,114,33.02
"2,288.00",8.57,-20.6,-0.59,4.52,112.5,39.84
"2,308.00",8.64,-20.75,-0.6,4.44,111.5,32.39
"2,328.00",8.55,-20.55,-0.65,4.66,112,16.82
"2,348.00",8.43,-20.15,-0.67,4.59,114,20.23
"2,368.00",8.33,-19.7,-0.65,4.26,114.5,19.72
"2,388.00",8.23,-19.55,-0.63,4.23,113.5,25.76
"2,408.00",8.15,-19.6,-0.62,4.49,114,25.61
"2,428.00",8.13,-19.65,-0.61,4.77,116,16.35
"2,448.00",8.17,-19.7,-0.62,5.06,117.5,11.66
"2,467.00",8.22,-19.75,-0.63,5.27,118.5,10.26
"2,487.00",8.26,-19.9,-0.61,5.14,119.5,12.12
"2,507.00",8.32,-20.05,-0.56,4.67,120,13.95
"2,527.00",8.37,-20.15,-0.51,4.2,119.5,14.94
"2,547.00",8.39,-20.25,-0.49,4.01,119,16.28
"2,567.00",8.4,-20.3,-0.48,4.13,118.5,15.78
"2,587.00",8.41,-20.35,-0.48,4.31,118,13.53
"2,607.00",8.42,-20.4,-0.48,4.46,117.5,13.81
"2,627.00",8.41,-20.4,-0.46,4.44,116.5,15.15
"2,647.00",8.39,-20.45,-0.42,4.26,115.5,19.47
"2,667.00",8.37,-20.5,-0.38,4.07,114.5,26.44
"2,687.00",8.35,-20.5,-0.35,3.89,114,32.56
"2,707.00",8.33,-20.4,-0.38,3.8,113.5,30.75
"2,727.00",8.31,-20.25,-0.46,3.78,113,27.42
"2,747.00",8.28,-20.11,-0.54,3.77,113.5,26.61
"2,767.00",8.25,-19.91,-0.62,3.75,114.5,22.94
"2,787.00",8.22,-19.85,-0.67,3.75,115.5,31.37
