Age,d13C,d15N
5025,-18.77,0.18
5045,-18.9,0.19
5065,-18.78,0.2
5085,-18.88,0.22
5105,-18.98,0.33
5125,-19.02,0.42
5145,-18.94,0.34
5165,-18.73,0.37
5185,-18.66,0.37
5205,-18.5,0.41
5225,-17.95,0.59
5245,-18.37,0.59
5265,-18.6,0.57
5285,-18.48,0.58
5305,-18.49,0.59
5325,-18.78,0.77
5345,-18.98,0.98
5365,-18.82,1.09
5385,-18.92,1.27
5405,-19.13,1.64
5425,-19.38,2.1
5445,-19.58,2.19
5465,-19.65,2.24
5484,-19.68,2.27
5504,-19.84,2.24
5524,-19.69,2.22
5544,-19.39,2.22
5564,-19.19,2.25
5584,-19.47,2.39
5604,-19.84,2.52
5624,-19.68,2.45
5644,-19.27,2.31
5664,-18.92,2.18
5684,-19.24,2.23
5704,-19.2,2.3
5724,-18.93,2.37
5744,-19.27,2.32
5764,-19.4,2.28
5784,-19.2,2.27
5804,-19.34,2.25
5824,-19.53,2.24
5844,-19.59,2.25
5864,-19.52,2.27
5884,-19.33,2.28
5904,-18.88,2.23
5924,-18.71,2.2
5944,-18.81,2.2
5964,-18.96,2.2
5984,-18.97,2.18
6004,-18.74,2.15
6024,-18.71,2.17
6044,-18.88,2.2
6064,-19.36,2.18
6084,-19.35,2.19
6104,-18.96,2.19
6124,-18.44,2.07
6144,-18.47,2.13
6164,-19.12,2.41
6184,-18.88,2.28
6204,-18.44,2.08
6224,-18.14,2.03
6244,-18.61,2.09
6264,-19.11,2.16
6284,-18.74,2.14
6304,-18.67,2.05
6324,-18.67,1.86
6344,-18.11,1.47
6364,-18.28,1.42
6384,-18.93,1.62
6404,-19.18,1.76
6424,-18.21,1.75
6444,-17.06,1.76
6464,-17.87,2.13
6483,-17.37,2.13
6503,-16.7,1.96
6523,-17.68,1.94
6543,-18.76,2.47
6563,-19.71,2.83
6583,-20.3,2.75
6603,-19.9,2.87
6623,-19.67,3.02
6643,-19.48,3.02
6663,-19.12,2.76
6683,-19.4,2.67
6703,-19.46,2.64
6723,-19.37,2.52
6743,-19.25,2.29
6763,-19,2.17
6783,-18.75,2.2
6803,-18.79,2.16
6823,-19.4,1.99
6843,-20.01,1.83
6863,-19.19,1.85
6883,-19.03,1.72
6903,-18.68,1.57
6923,-17.6,1.18
6943,-17.22,1.17
6963,-17.89,1.48
6983,-18.3,1.4
7003,-17.91,1.29
7023,-17.36,1.24
7043,-17.58,1.19
7063,-17.49,1.21
7083,-17.34,1.16
7103,-17.71,1.12
7123,-17.94,1.13
7143,-17.64,1.09
7163,-17.48,0.94
7183,-17.41,0.91
7203,-17.37,0.96
7223,-17.14,0.99
7243,-16.6,0.61
7263,-17.18,0.88
7283,-17.54,0.93
7303,-17.54,0.9
7323,-17.35,0.85
7343,-17.36,0.84
7363,-17.56,0.87
7383,-17.45,0.85
7403,-17.6,0.97
7423,-18.63,0.91
7443,-17.63,0.9
7463,-17.29,0.9
7483,-16.65,0.9
7502,-16.97,0.99
7522,-17.56,1.1
7542,-16.8,1.1
7562,-16.49,1.11
7582,-17.28,1.18
7602,-17.63,1.2
7622,-16.81,1.05
7642,-16.39,0.96
7662,-17.44,1.09
7682,-17.66,1.09
7702,-17.63,0.97
7722,-17.56,0.86
7742,-17.58,0.8
7762,-17.86,0.8
7782,-18.15,0.8
7802,-18.3,0.73
7822,-18.27,0.63
7842,-18.08,0.75
7862,-17.96,0.88
7882,-17.88,0.99
7902,-17.75,1
7922,-17.82,1.04
7942,-18,1.09
7962,-18.13,1.1
7982,-18.33,1.13
8002,-18.64,1.19
