Source,Meand13C,SDd13C,Meand15N,SDd15N,MeanCN,SDCN,n
Terrestrial,-25.92,2.13,-3.7,3.55,62.64,46.47,77
Aquatic_plants,-13.41,3.69,-2.33,5.4,18.44,9.38,23
Soil,-26.16,0.93,1.46,1.86,16.66,2.86,46
Algae,-22.65,4.59,1.24,1.7,13.2,5.72,9
