d13C,d15N,Age
-19.4,-0.48,4925
-19.4,-0.51,4945
-19.37,-0.54,4965
-19.3,-0.57,4985
-19.3,-0.6,5005
-19.3,-0.63,5025
-19.3,-0.66,5045
-19.3,-0.68,5065
-19.3,-0.71,5085
-19.3,-0.74,5105
-19.3,-0.77,5125
-19.3,-0.79,5145
-19.33,-0.79,5165
-19.4,-0.75,5185
-19.4,-0.72,5205
-19.4,-0.69,5225
-19.43,-0.65,5245
-19.5,-0.62,5265
-19.5,-0.59,5285
-19.53,-0.56,5305
-19.6,-0.52,5325
-19.6,-0.49,5345
-19.6,-0.46,5365
-19.63,-0.42,5385
-19.7,-0.39,5405
-19.7,-0.36,5425
-19.7,-0.35,5445
-19.7,-0.35,5465
-19.67,-0.36,5484
-19.6,-0.36,5504
-19.6,-0.36,5524
-19.6,-0.36,5544
-19.6,-0.37,5564
-19.6,-0.37,5584
-19.6,-0.37,5604
-19.57,-0.37,5624
-19.5,-0.38,5644
-19.5,-0.38,5664
-19.5,-0.38,5684
-19.5,-0.38,5704
-19.5,-0.39,5724
-19.5,-0.39,5744
-19.5,-0.39,5764
-19.47,-0.4,5784
-19.4,-0.4,5804
-19.4,-0.4,5824
-19.4,-0.41,5844
-19.4,-0.41,5864
-19.4,-0.42,5884
-19.4,-0.42,5904
-19.4,-0.42,5924
-19.4,-0.43,5944
-19.4,-0.43,5964
-19.4,-0.44,5984
-19.4,-0.44,6004
-19.4,-0.44,6024
-19.4,-0.45,6044
-19.37,-0.47,6064
-19.3,-0.52,6084
-19.27,-0.56,6104
-19.2,-0.61,6124
-19.17,-0.65,6144
-19.1,-0.7,6164
-19.07,-0.74,6184
-18.98,-0.79,6204
-18.9,-0.84,6224
-18.87,-0.88,6244
-18.8,-0.93,6264
-18.77,-0.97,6284
-18.7,-1.02,6304
-18.67,-1.07,6324
-18.6,-1.11,6344
-18.63,-1.12,6364
-18.72,-1.07,6384
-18.82,-1.01,6404
-18.92,-0.96,6424
-19.02,-0.91,6444
-19.12,-0.85,6464
-19.22,-0.8,6483
-19.32,-0.75,6503
-19.42,-0.69,6523
-19.52,-0.64,6543
-19.62,-0.59,6563
-19.72,-0.53,6583
-19.82,-0.48,6603
-19.92,-0.42,6623
-20,-0.37,6643
-20.02,-0.33,6663
-20.1,-0.3,6683
-20.1,-0.28,6703
-20.1,-0.26,6723
-20.1,-0.23,6743
-20.12,-0.21,6763
-20.19,-0.19,6783
-20.2,-0.16,6803
-20.2,-0.14,6823
-20.2,-0.12,6843
-20.22,-0.1,6863
-20.29,-0.07,6883
-20.3,-0.05,6903
-20.3,-0.03,6923
-20.3,0,6943
-20.32,0.02,6963
-20.39,0.04,6983
-20.4,0.07,7003
-20.4,0.09,7023
-20.4,0.11,7043
-20.4,0.1,7063
-20.42,0.09,7083
-20.49,0.08,7103
-20.5,0.07,7123
-20.5,0.06,7143
-20.5,0.05,7163
-20.5,0.04,7183
-20.52,0.03,7203
-20.59,0.02,7223
-20.6,0.01,7243
