Age,d13C,d15N
5365,-26.14,2.44
5385,-26.13,2.46
5405,-26.11,2.48
5425,-26.1,2.49
5445,-26.09,2.51
5465,-26.11,2.49
5484,-26.13,2.47
5504,-26.16,2.45
5524,-26.18,2.44
5544,-26.21,2.42
5564,-26.23,2.4
5584,-26.26,2.38
5604,-26.28,2.36
5624,-26.31,2.34
5644,-26.33,2.32
5664,-26.36,2.31
5684,-26.38,2.29
5704,-26.41,2.27
5724,-26.43,2.25
5744,-26.46,2.23
5764,-26.48,2.21
5784,-26.5,2.14
5804,-26.51,2.06
5824,-26.52,1.99
5844,-26.53,1.91
5864,-26.55,1.84
5884,-26.56,1.76
5904,-26.57,1.68
5924,-26.58,1.62
5944,-26.55,1.65
5964,-26.52,1.7
5984,-26.5,1.74
6004,-26.47,1.79
6024,-26.44,1.83
6044,-26.41,1.88
6064,-26.38,1.92
6084,-26.35,1.97
6104,-26.32,2.01
6124,-26.29,2.06
6144,-26.26,2.1
6164,-26.23,2.15
6184,-26.2,2.19
6204,-26.17,2.24
6224,-26.15,2.28
6244,-26.12,2.32
6264,-26.11,2.33
6284,-26.11,2.34
6304,-26.1,2.35
6324,-26.09,2.35
6344,-26.09,2.36
6364,-26.08,2.36
6384,-26.08,2.37
6404,-26.07,2.38
6424,-26.07,2.38
6444,-26.06,2.39
6464,-26.06,2.4
6483,-26.05,2.4
6503,-26.04,2.41
6523,-26.04,2.41
6543,-26.03,2.42
6563,-26.03,2.43
6583,-26.02,2.43
6603,-26.02,2.44
6623,-26.01,2.45
6643,-26,2.45
6663,-26,2.46
6683,-25.99,2.46
6703,-25.99,2.47
6723,-25.98,2.48
6743,-25.98,2.48
6763,-25.97,2.49
6783,-25.97,2.49
6803,-25.96,2.5
6823,-25.96,2.5
6843,-25.96,2.43
6863,-25.97,2.36
6883,-25.98,2.29
6903,-25.99,2.21
6923,-26,2.14
6943,-26.01,2.06
6963,-26.02,1.99
6983,-26.03,1.93
7003,-26.03,1.91
7023,-26.04,1.91
7043,-26.04,1.9
7063,-26.05,1.9
7083,-26.06,1.89
7103,-26.06,1.89
7123,-26.07,1.88
7143,-26.08,1.88
7163,-26.08,1.87
7183,-26.09,1.87
7203,-26.1,1.86
7223,-26.1,1.86
7243,-26.11,1.85
7263,-26.12,1.85
7283,-26.12,1.85
7303,-26.13,1.84
7323,-26.14,1.84
7343,-26.14,1.83
7363,-26.15,1.83
7383,-26.15,1.82
7403,-26.16,1.82
7423,-26.17,1.81
7443,-26.17,1.81
7463,-26.18,1.8
7483,-26.19,1.8
7502,-26.21,1.8
7522,-26.22,1.79
7542,-26.23,1.79
7562,-26.25,1.79
7582,-26.26,1.79
7602,-26.27,1.78
7622,-26.29,1.78
7642,-26.3,1.78
7662,-26.31,1.77
7682,-26.33,1.77
7702,-26.34,1.77
7722,-26.35,1.77
7742,-26.37,1.76
7762,-26.38,1.76
