Age,d13C,d15N
5365,-22.64,1.8
5385,-22.68,1.96
5405,-22.67,1.91
5425,-22.73,1.97
5445,-22.6,1.82
5465,-22.62,1.77
5484,-23.05,1.93
5504,-23.06,1.92
5524,-22.96,2.01
5544,-22.99,1.94
5564,-23.09,1.87
5584,-22.85,1.95
5604,-22.65,1.98
5624,-23.07,1.82
5644,-22.99,1.91
5664,-22.07,1.8
5684,-21.04,1.46
5704,-22.85,1.94
5724,-22.93,2.07
5744,-23.32,2.09
5764,-23.29,2.07
5784,-23.24,1.89
5804,-23.41,1.89
5824,-23.12,1.93
5844,-22.49,1.88
5864,-22.56,2.01
5884,-22.7,2.14
5904,-23.18,2.22
5924,-23.16,2.24
5944,-23.05,2.26
5964,-23.02,2.23
5984,-22.98,2.12
6004,-22.95,1.98
6024,-22.93,1.69
6044,-23.29,1.79
6064,-23.58,1.89
6084,-23.65,1.89
6104,-23.61,1.91
6124,-23.58,1.94
6144,-23.96,2.13
6164,-24.21,2.19
6184,-24.09,2
6204,-23.95,1.8
6224,-24.03,1.77
6244,-24.2,1.8
6264,-24.58,1.85
6284,-25.77,2
6304,-24.47,1.96
6324,-23.19,1.81
6344,-24.79,1.66
6364,-25.14,1.69
6384,-25.09,1.77
6404,-25.03,1.87
6424,-24.94,2.06
6444,-24.69,2.23
6464,-24.27,2.32
6483,-24.09,2.35
6503,-23.98,2.38
6523,-23.86,2.4
6543,-23.75,2.42
6563,-23.66,2.43
6583,-23.62,2.4
6603,-23.75,2.34
6623,-23.91,2.28
6643,-23.75,2.28
6663,-23.61,2.28
6683,-23.63,2.27
6703,-23.65,2.27
6723,-23.68,2.24
6743,-23.71,2.02
6763,-23.79,1.88
6783,-24.12,2.22
6803,-24.34,2.37
6823,-24.31,2.12
6843,-24.31,2.01
6863,-24.33,2.02
6883,-24.35,2.02
6903,-24.36,2.03
6923,-24.25,2.09
6943,-23.95,2.15
6963,-22.28,2.09
6983,-20.67,2.01
7003,-21.88,2.01
7023,-23.44,2.04
7043,-23.73,2.17
7063,-23.8,2.32
7083,-23.87,2.46
7103,-23.92,2.57
7123,-23.85,2.4
7143,-23.77,2.18
7163,-23.76,2.15
7183,-23.77,2.18
7203,-23.63,2.18
7223,-23.43,2.16
