Age,d13C,d15N
5265,-20.21,0.66
5285,-20.14,0.71
5305,-20.24,0.77
5325,-20.15,0.74
5345,-20.28,0.49
5365,-20.74,0.27
5385,-20.34,0.55
5405,-19.96,0.81
5425,-19.86,0.67
5445,-19.74,0.66
5465,-19.82,0.76
5484,-20.02,0.91
5504,-20.14,0.92
5524,-20.06,0.9
5544,-19.83,0.76
5564,-20.05,0.81
5584,-20.22,0.93
5604,-20.18,0.82
5624,-20.22,0.67
5644,-20.23,0.57
5664,-20.18,0.68
5684,-20.27,0.83
5704,-20.11,0.8
5724,-20.15,0.82
5744,-20.49,0.74
5764,-20.74,0.67
5784,-21.22,0.49
5804,-21.15,0.09
5824,-20.69,0.46
5844,-20.8,0.69
5864,-20.28,0.83
5884,-19.81,0.92
5904,-19.89,0.76
5924,-20.52,0.55
5944,-21.45,0.34
5964,-21.05,0.29
5984,-21.55,0.29
6004,-21.23,0.45
6024,-20.81,0.69
6044,-20.91,0.87
6064,-21.51,0.59
6084,-20.47,0.57
6104,-20.89,0.46
6124,-20.55,0.62
6144,-20.23,0.65
6164,-20.8,0.49
6184,-20.65,0.61
6204,-20.31,0.71
6224,-20.05,0.54
6244,-20.18,0.8
6264,-20.72,0.52
6284,-20.45,0.59
6304,-20.06,0.84
6324,-20.11,0.73
6344,-19.97,0.82
6364,-20.38,0.88
6384,-19.99,0.85
6404,-19.82,0.87
6424,-20.09,0.69
6444,-21.17,0.3
6464,-20.89,0.35
6483,-20.2,0.79
6503,-20.12,0.73
6523,-20.96,0.59
6543,-21.14,0.37
6563,-20.25,0.36
6583,-21.34,-0.22
6603,-21.21,0.38
6623,-20.85,0.52
6643,-20.13,0.79
6663,-20.28,0.71
6683,-20.49,0.62
6703,-20.28,0.91
6723,-20.11,1.12
6743,-20.21,1.19
6763,-20.47,0.79
6783,-20.58,0.73
6803,-21.64,0.16
6823,-20.89,0.61
6843,-20.53,0.51
6863,-20.6,0.52
6883,-21.03,0.53
6903,-20.63,0.76
6923,-20.89,0.73
6943,-21.1,0.43
6963,-20.69,0.42
6983,-20.83,0.45
7003,-20.92,0.33
7023,-20.98,0.27
7043,-21.23,0.12
7063,-21.81,0.01
7083,-21.61,0.06
7103,-21.2,0.41
7123,-20.82,0.84
7143,-20.93,0.94
7163,-20.87,0.63
7183,-21,0.58
7203,-20.98,0.51
7223,-19.82,1
7243,-19.73,1.05
7263,-20.17,0.99
7283,-21.01,0.61
7303,-20.15,0.93
7323,-19.82,1.25
7343,-19.59,1.15
7363,-18.93,1.08
7383,-18.97,0.94
7403,-19.29,0.85
7423,-20.81,0.63
7443,-21.31,0.34
7463,-22.05,0.35
7483,-21.78,0.3
7502,-19.72,0.47
7522,-19.89,0.48
7542,-19.94,0.61
7562,-21.11,0.32
7582,-20.34,0.38
7602,-19.52,0.44
7622,-19.6,0.39
