,Meand13C,SDd13C,Meand15N,SDd15N,n
Soil,-25.5,0.8,1.67,2.48,3
Terrestrial plants,-25.5,1.21,-1.6,3.6,8
Mosses,-20.43,1.55,0.77,0.47,3
Plankton,-29.3,0.28,6.5,0.42,2
