d13C,d15N,Age
-25.16,1.5,5345
-25,1.51,5365
-24.66,1.59,5385
-24.92,1.42,5405
-24.98,1.54,5425
-24.95,1.72,5445
-25.1,1.63,5465
-25.09,1.52,5484
-25.15,1.59,5504
-25.16,1.7,5524
-25.04,1.71,5544
-25.03,1.69,5564
-24.99,1.63,5584
-24.97,1.66,5604
-24.92,1.66,5624
-24.87,1.52,5644
-25.11,1.55,5664
-25.12,1.69,5684
-25.34,1.47,5704
-25.3,1.41,5724
-25.19,1.44,5744
-25.22,1.41,5764
-25.02,1.61,5784
-25.2,1.45,5804
-25.04,1.48,5824
-25.14,1.29,5844
-25.17,1.27,5864
-25.24,1.52,5884
-25.1,1.66,5904
-25.22,1.64,5924
-25.27,1.61,5944
-25.68,1.51,5964
-25.85,1.34,5984
-27.32,1.2,6004
-27.69,1.28,6024
-27.26,1.44,6044
-26.91,1.59,6064
-27.24,1.57,6084
-27.55,1.34,6104
-26.98,1.01,6124
-26.22,0.7,6144
-25.71,0.57,6164
-26.16,0.53,6184
-25.39,0.96,6204
-24.74,1.64,6224
-24.48,1.74,6244
-24.7,1.73,6264
-24.5,1.78,6284
-24.42,1.61,6304
-24.53,1.54,6324
-24.69,1.5,6344
-24.61,1.66,6364
-24.61,1.59,6384
-24.59,1.55,6404
-24.62,1.62,6424
-24.52,1.66,6444
-24.49,1.67,6464
-24.46,1.73,6483
-24.68,1.58,6503
-25.54,1.02,6523
-26.06,0.68,6543
-25.84,1.12,6563
-24.9,1.68,6583
-24.91,1.73,6603
-24.6,1.48,6623
-24.87,1.46,6643
-25.12,1.37,6663
-25.22,1.15,6683
-25.22,0.86,6703
-24.89,0.92,6723
-25.07,0.96,6743
-25.86,0.62,6763
-25.98,0.64,6783
-25.85,0.96,6803
-25.4,1.05,6823
-25.55,0.77,6843
-24.99,0.87,6863
-24.74,1.07,6883
-24.98,1.03,6903
-25.04,0.99,6923
-25.09,0.87,6943
-25.35,0.81,6963
-25.96,0.76,6983
-25.56,0.87,7003
-25,0.8,7023
-25.41,0.36,7043
-25.26,0.39,7063
-24.43,0.87,7083
-24.95,0.86,7103
-24.97,0.91,7123
-24.75,0.92,7143
-24.49,0.88,7163
-24.39,0.71,7183
-24.85,0.66,7203
-24.78,0.69,7223
-24.69,0.46,7243
-24.88,0.42,7263
-24.54,0.46,7283
-24.68,0.34,7303
-24.55,0.54,7323
-24.21,0.78,7343
-24.19,0.7,7363
-24.27,0.66,7383
-24.48,0.61,7403
-24.88,0.71,7423
-25.21,0.88,7443
-24.88,0.8,7463
-24.59,0.77,7483
-24.39,0.77,7502
-24.37,0.65,7522
-24.47,0.64,7542
-24.47,0.74,7562
-24.76,0.73,7582
-24.34,0.75,7602
-24.34,0.8,7622
-24.61,0.8,7642
-24.87,0.57,7662
-24.53,0.42,7682
-24.39,0.55,7702
-24.31,0.71,7722
-24.33,0.58,7742
-24.15,0.59,7762
-23.47,0.8,7782
-24.33,0.81,7802
-25.24,0.74,7822
-24.24,0.85,7842
-24.01,0.79,7862
-23.77,0.62,7882
-23.57,0.56,7902
-23.55,0.25,7922
-24.16,0.42,7942
-24.67,0.37,7962
-23.94,0.36,7982
-23.46,0.36,8002
