V1,V2,V3,Age
0.6461467972095759,0.3443352873197504,0.009517915470673807,-57
0.6504596756123545,0.33873738236704,0.010802942020605522,185
0.6705391129207608,0.32035684089091565,0.009104046188323625,421
0.615206742372391,0.3753864870034998,0.009406770624109134,644.5
0.6133872195142629,0.3777061157990415,0.00890666468669569,856
0.648671922990702,0.34227986658088994,0.009048210428408041,1254
0.6221265916538704,0.36638519780974393,0.011488210536385882,1638
0.6424560938941122,0.3482461517634994,0.009297754342388364,2031
0.6853179098617935,0.30765113749316,0.007030952645046541,2456
0.6808080732189513,0.3103897155554852,0.008802211225563347,2914
0.6452574186636055,0.344979048557001,0.009763532779393482,3375
0.6707703719757263,0.31986250372367275,0.009367124300600821,3821
0.6644126973504954,0.32435779264157016,0.011229510007934528,4242
0.6489521797069538,0.3421534578037759,0.008894362489270282,4440
0.6447163087703967,0.34752864812113643,0.007755043108467017,4629
0.6148333456028012,0.3760586341351386,0.0091080202620603,4807.5
0.5877177699690803,0.4014585410868257,0.010823688944093994,4974
0.6490293190072556,0.34314773606112187,0.007822944931622545,5126.5
0.6648399134429545,0.32604525684605234,0.00911482971099336,5389.5
0.6525989118901663,0.33850027683689454,0.00890081127293917,5500
0.7284794137381164,0.26295674430296945,0.008563841958914176,5598
0.6767735713837537,0.31255225699804445,0.010674171618201724,5765.5
0.6498875797866109,0.3401886974025193,0.009923722810869656,5838
0.6660537404541554,0.3240127305760778,0.009933528969766552,5906
0.6505010186858722,0.33935834664375325,0.010140634670374672,5969
0.6003364918008376,0.3885511620844524,0.011112346114709926,6087
0.6144188471718265,0.3755875901219003,0.009993562706273183,6196
0.5935197458942085,0.39599555808258413,0.010484696023207302,6303
0.6809890047006854,0.30924281007924004,0.009768185220074683,6410
0.5798737813075183,0.4086720076002522,0.01145421109222962,6517
0.6794805099875469,0.3116975345276707,0.008821955484782271,6730
0.661154125586833,0.3301069873659145,0.008738887047252439,6837
0.651386342348596,0.3368426041050276,0.011771053546376435,6943
0.6165996850573078,0.37477297213231126,0.008627342810380995,7050
0.6218664088572925,0.36825931397359796,0.009874277169109547,7157
