,Meand13C,SDd13C,Meand15N,SDd15N,n
Soil,-25.50,0.80,1.67,2.48,3
Terrestrial plants,-26.90,1.21,-1.60,3.60,8
Mosses,-21.83,1.55,0.77,0.47,3
Plankton,-30.70,0.28,6.50,0.42,2
